"","Accession name","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM"
"79","TMe-305","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Dark green","Dark green","5","Long (25-30cm)","Short","Absent","Irregular",17,5.66666666666667,1.2,0.4,5.4,1.8,6.6,2.2,2,44.3
"80","TMe-307","Purple","Long","Green purple","Top part","50-75% leaf retention","3","White","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Tending toward horizontal",17,4.25,3,0.75,7,1.75,10,2.5,2,34.4
"81","TMe-314","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","White","1","150-300","Green purple","Green purple","2","Long (25-30cm)","Short","Absent","Irregular",4,2,2.8,1.4,4.8,2.4,7.6,3.8,0,39.8
"82","TMe-315","Green purple","Medium","Green purple","Central part","25-50% leaf retention","1","White","0","No branching","Purple","Dark green","2","Medium (15-20cm)","Absent","Present","Irregular",4,4,1.6,1.6,3.6,3.6,5.2,5.2,0,41.4
"84","TMe-318","Purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","150-300","Purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",11,3.66666666666667,1.8,0.6,3.2,1.06666666666667,5,1.66666666666667,1,39.9
"85","TMe-321","Green purple","Medium","Green purple","Central part","25-50% leaf retention","2","White","3","450-600","Green purple","Dark green","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",5,5,1.8,1.8,2.6,2.6,4.4,4.4,0,42.6
"86","TMe-332","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Irregular",24,6,5.2,1.3,9.2,2.3,14.4,3.6,3,41.9
"87","TMe-334","Green purple","Long","Green purple","Central part","50-75% leaf retention","2","Cream","1","750-900","Green purple","Dark green","5","Medium (15-20cm)","Short","Absent","Irregular",26,5.2,7,1.4,12,2.4,19,3.8,1,38.8
"88","TMe-336","Purple","Long","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Intermediate","Present","Tending toward horizontal",10,2.5,10,2.5,9.2,2.3,19.2,4.8,1,41.9
"90","TMe-339","Dark green","Long","Green purple","Central part","50-75% leaf retention","1","White","0","No branching","Dark green","Dark green","5","Long (25-30cm)","Short","Present","Tending toward horizontal",24,6,5,1.25,6,1.5,11,2.75,0,44.9
"91","TMe-340","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",24,4.8,11,2.2,10.4,2.08,21.4,4.28,5,42.8
"92","TMe-347","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","White","2","450-600","Green purple","Dark green","5","Medium (15-20cm)","Short","Absent","Tending toward horizontal",7,2.33333333333333,4,1.33333333333333,6.2,2.06666666666667,10.2,3.4,0,31.8
"93","TMe-352","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","2","White","2","450-600","Light green","Green purple","3","Long (25-30cm)","Short","Present","Tending toward horizontal",4,4,1,1,1.4,1.4,2.4,2.4,2,37
"94","TMe-353","Green purple","Medium","Purple","Totally pigmented","<100% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Absent","Absent","Irregular",20,5,5,1.25,16,4,21,5.25,3,37.9
"95","TMe-359","Green purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",21,5.25,12,3,12.2,3.05,24.2,6.05,4,40.7
"96","TMe-360","Purple","Long","Green purple","Top part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",24,6,11,2.75,12,3,23,5.75,5,38.9
"97","TMe-361","Dark green","Long","Green purple","Central part","50-75% leaf retention","3","Cream","5","450-600","Green purple","Dark green","5","Long (25-30cm)","Absent","Present","Tending toward horizontal",19,9.5,7,3.5,8.2,4.1,15.2,7.6,6,40.9
"98","TMe-362","Green purple","Long","Green purple","Top and bottom","50-75% leaf retention","3","Cream","5","450-600","Purple","Dark green","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",25,6.25,13,3.25,15,3.75,28,7,2,29
"99","TMe-363","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Absent","Irregular",15,5,12.4,4.13333333333333,13.2,4.4,25.6,8.53333333333333,0,36.2
"100","TMe-365","Dark green","Medium","Green purple","Central part","25-50% leaf retention","0","White","0","No branching","Dark green","Dark green","2","Long (25-30cm)","Intermediate","Absent","Tending toward horizontal",2,1,0.4,0.2,0.6,0.3,1,0.5,0,38.1
"101","TMe-368","Dark green","Long","Purple","Totally pigmented","50-75% leaf retention","3","White","3","450-600","Dark green","Green purple","4","Long (25-30cm)","Short","Absent","Tending toward horizontal",10,2.5,5,1.25,8,2,13,3.25,0,40.1
"102","TMe-369","Green purple","Long","Green purple","Central part","50-75% leaf retention","0","Cream","1","150-300","Dark green","Green purple","4","Long (25-30cm)","Absent","Present","Irregular",15,5,6,2,8.2,2.73333333333333,14.2,4.73333333333333,3,31.6
"103","TMe-373","Green purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",18,3.6,21.4,4.28,28.4,5.68,49.8,9.96,0,38.8
"104","TMe-376","Green purple","Medium","Green purple","Central part","50-75% leaf retention","4","Cream","4","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",16,4,6.2,1.55,13,3.25,19.2,4.8,0,36
"105","TMe-377","Dark green","Long","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",6,1.5,2,0.5,5,1.25,7,1.75,1,43.1
"106","TMe-378","Green purple","Medium","Red","Totally pigmented","50-75% leaf retention","4","White","3","450-600","Green purple","Dark green","4","Long (25-30cm)","Absent","Absent","Tending toward horizontal",13,3.25,7,1.75,12,3,19,4.75,0,37
"107","TMe-380","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","2","Cream","2","450-600","Dark green","Green purple","5","Long (25-30cm)","Short","Present","Irregular",12,2.4,10,2,5.4,1.08,15.4,3.08,2,42.2
"108","TMe-381","Dark green","Long","Purple","Totally pigmented","25-50% leaf retention","0","Cream","0","No branching","Green","Green purple","5","Medium (15-20cm)","Absent","Present","Irregular",12,3,3,0.75,5,1.25,8,2,0,37.2
"109","TMe-382","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","4","450-600","Green purple","Dark green","5","Medium (15-20cm)","Absent","Present","Irregular",16,5.33333333333333,2.8,0.933333333333333,13,4.33333333333333,15.8,5.26666666666667,2,35.3
"110","TMe-383","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","1","Cream","1","150-300","Dark green","Green purple","5","Long (25-30cm)","Short","Absent","Irregular",5,1.25,2.6,0.65,0.8,0.2,3.4,0.85,0,44.6
"111","TMe-385","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","750-900","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",12,4,3,1,7,2.33333333333333,10,3.33333333333333,3,33.7
"112","TMe-386","Purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Purple","Green purple","2","Long (25-30cm)","Short","Present","Tending toward horizontal",4,1,4.2,1.05,9,2.25,13.2,3.3,0,38.9
"113","TMe-387","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","450-600","Green purple","Green purple","2","Long (25-30cm)","Absent","Absent","Irregular",6,2,7.4,2.46666666666667,6,2,13.4,4.46666666666667,0,35
"114","TMe-388","Green purple","Long","Purple","Totally pigmented","50-75% leaf retention","2","Cream","2","450-600","Purple","Dark green","5","Long (25-30cm)","Absent","Present","Irregular",12,3,11,2.75,13.2,3.3,24.2,6.05,3,37.6
"116","TMe-390","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","2","450-600","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",16,8,16,8,19.4,9.7,35.4,17.7,0,35.5
"117","TMe-391","Green purple","Medium","Green purple","Top part","50-75% leaf retention","2","Cream","3","750-900","Purple","Dark green","4","Long (25-30cm)","Absent","Present","Irregular",10,3.33333333333333,16,5.33333333333333,14.8,4.93333333333333,30.8,10.2666666666667,0,33.4
"118","TMe-394","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","0","White","1","150-300","Dark green","Green purple","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",2,1,0.2,0.1,0.4,0.2,0.6,0.3,0,42.1
"119","TMe-396","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","3","Cream","3","450-600","Dark green","Green purple","5","Long (25-30cm)","Intermediate","Present","Irregular",18,4.5,10,2.5,11.6,2.9,21.6,5.4,0,43
"120","TMe-399","Green purple","Long","Green purple","Top part","<100% leaf retention","3","Cream","4","450-600","Purple","Dark green","5","Medium (15-20cm)","Absent","Present","Tending toward horizontal",25,6.25,22.2,5.55,42,10.5,64.2,16.05,0,38.5
